#stream_file,packet_series_counter,packet_number,packet_time_relative,packet_tcp_stream,packet_header_data,packet_type,decryption_key_milliseconds,decryption_key_depth,decryption_key
ddpkg/stream14-pawncreation-marked.pcapng,2,1228,75.517919000,6,2512eb6b2e2e9c04c70674f814085465,login,,,
ddpkg/stream14-pawncreation-marked.pcapng,0,131,14.427870000,2,4f463e43f69e8d12d926d9c0b5ec97c8,game-select,,,
ddpkg/stream14-pawncreation-marked.pcapng,1,6454,299.207695000,20,56d9bb2f2e8a9d99d4fe5bcc0a966ea3,game-select,,,
ddpkg/stream14-pawncreation-marked.pcapng,2,1335,83.171605000,7,dbbe9772bfb550e8d5710266981970e1,game-select,,,
ddpkg/stream14-pawncreation-marked.pcapng,0,6565,308.108559000,21,b527efac4e0ccdff19a235094ef43b15,game,,,
ddpkg/stream14-pawncreation-marked.pcapng,1,242,22.364484000,3,1b331421b70bfd3ea6ff996c77ed63c2,game,,,
ddpkg/stream14-pawncreation-marked.pcapng,2,1444,91.706646000,8,d2b8776998f50be5bd9cc163fdbbed73,game,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,0,22,1.834999000,1,0cb7ddfa30a1855350d18aed980f9000,login,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,1,3389,187.730775000,13,3bf51f42f5da6b6bf66ecc6cb27cfcf8,login,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,2,1764,89.233610000,9,b5f7f72fd422e10573d7bfea0f304887,login,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,0,1876,99.947028000,10,a3b5452c83153c1e585ebce204d916c6,game-select,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,1,3497,197.876278000,14,d40b2a2eec0b33c4afe398ac78cd7bd2,game-select,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,2,132,16.906345000,2,356979b3824e586ca5848c4b5d91fa3a,game-select,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,0,1986,107.815349000,11,c2ed271f12297782c9fd18bdb9aa5d56,game,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,1,3609,206.912274000,15,263438a473fb0799ba73bb095e9f95e2,game,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,2,6493,492.257889000,24,f1a6f86d4024503b1bd56f1ee7bee0d8,game,,,
ddpkg/stream15-bbm-halfassed-marked.pcapng,3,243,24.117807000,3,62dda1e5812098d980b8ac921a153726,game,,,
ddpkg/stream16-cleancreation-marked.pcapng,0,19,2.102245000,1,7c816029e153c304714deffd9fdfd4a8,login,,,
ddpkg/stream16-cleancreation-marked.pcapng,0,127,14.044541000,2,5e60edd0bfd745f472c54ccc80699d20,game-select,,,
ddpkg/stream16-cleancreation-marked.pcapng,0,241,26.976913000,3,9fa9cc6ff55ba0bb2aec32c538a3b488,game,,,
ddpkg/stream17-largedelivery-marked.pcapng,0,7,0.469651000,0,0baabb304d7158ecc7ccf97cb8e12e76,login,,,
ddpkg/stream17-largedelivery-marked.pcapng,1,7035,634.831474000,20,6e0fe9b3f32b91c34c28390f39a57090,login,,,
ddpkg/stream17-largedelivery-marked.pcapng,2,1207,77.076749000,8,4d2c529be3cba308f50dc347aae3ec68,login,,,
ddpkg/stream17-largedelivery-marked.pcapng,0,116,11.319545000,1,b3f6e87413b022e7c73543b89a1d3160,game-select,,,
ddpkg/stream17-largedelivery-marked.pcapng,1,7142,644.300479000,21,181a51cf8aebe937576d306999e86904,game-select,,,
